Source,Target,Category
对不起>_<,죄송해요>_<,사용자
没关系~,괜찮아요~,사용자
小心~！！,조심~!!,사용자
快帮帮我！！,도와주세요!!,사용자
我先走一步了哦~,저 먼저 갈게요~,사용자
我没救了。。,저 틀렸어요..,사용자
玩得不错！！,잘하시네요!!,사용자
快使用天使!,빨리 천사 쓰세요!,사용자
快使用道具锁!,빨리 자물쇠 쓰세요!,사용자
快使用**!,빨리 ** 쓰세요!,사용자
对方使用了天使!,상대 천사 썼어요!,사용자
我要用定时水炸弹了!,타이머 물폭탄 씁니다!,사용자
小心地面!,바닥 조심!,사용자
小心水炸弹!,물폭탄 조심!,사용자
帮忙狙击第一名!,1등 저격 지원 좀!,사용자
帮忙使用下道具锁!,자물쇠 좀 써주세요!,사용자
帮忙사용下必杀技!,필살기 좀 써주세요!,사용자
帮忙使用下必杀技!,필살기 좀 써주세요!,사용자
小心,조심,채팅 빠른 답장
快帮帮我!!,빨리 도와줘!!,채팅 빠른 답장
玩得不错!!,정말 재미있네요!!,채팅 빠른 답장
帮忙夺第一名!,1등을 차지하게 도와줘!,채팅 빠른 답장
我的物品,내 물품,게임 UI 고정어
道具组合,아이템 조합,게임 UI 고정어
成就,업적,게임 UI 고정어
道具图鉴,아이템 도감,게임 UI 고정어
我的徽章,내 배지,게임 UI 고정어
管理,관리,게임 UI 고정어
寻找小屋,집 찾기,게임 UI 고정어
随机进入,랜덤 입장,게임 UI 고정어
多人游戏,멀티플레이,게임 UI 고정어
单人游戏,싱글플레이,게임 UI 고정어
小屋,마이룸,게임 UI 고정어
商店,상점,게임 UI 고정어
车库,차고,게임 UI 고정어
俱乐部,클럽,게임 UI 고정어
跑跑通行证,카트 패스,게임 UI 고정어
设置,설정,게임 UI 고정어
部件,부품,게임 UI 고정어
分解,분해,게임 UI 고정어
升级,강화,게임 UI 고정어
合成,합성,게임 UI 고정어
车辆改装,차량 개조,게임 UI 고정어
成长型车辆,성장형 차량,게임 UI 고정어
材料车辆,재료 차량,게임 UI 고정어
持有车辆,보유 차량,게임 UI 고정어
车辆信息,차량 정보,게임 UI 고정어
车辆性能,차량 성능,게임 UI 고정어
装备部件,장착 부품,게임 UI 고정어
车辆功能,차량 기능,게임 UI 고정어
加速度,가속도,게임 UI 고정어
弯道,코너링,게임 UI 고정어
漂移,드리프트,게임 UI 고정어
加速时间,가속 시간,게임 UI 고정어
集气速度,게이지 충전 속도,게임 UI 고정어
开始升级,강화 시작,게임 UI 고정어
开始合成,합성 시작,게임 UI 고정어
开始分解,분해 시작,게임 UI 고정어
帮助,도움말,게임 UI 고정어
部件强化,부품 강화,게임 UI 고정어
部件初始化,부품 초기화,게임 UI 고정어
变形预览,변형 미리보기,게임 UI 고정어
兑换部件碎片,부품 조각 교환,게임 UI 고정어
分解结果,분해 결과,게임 UI 고정어
普通,일반,게임 UI 고정어
高级,고급,게임 UI 고정어
稀有,희귀,게임 UI 고정어
终极,최종,게임 UI 고정어
精英,엘리트,게임 UI 고정어
无限制,제한 없음,게임 UI 고정어
获得车辆,획득 차량,게임 UI 고정어
幸运点等级,행운 포인트 등급,게임 UI 고정어
手续费,수수료,게임 UI 고정어
金币,코인,게임 UI 고정어
酷币,쿨코인,게임 UI 고정어
计时赛,타임어택,트랙/모드명
练习计时赛,연습 타임어택,트랙/모드명
排位计时赛,랭킹 타임어택,트랙/모드명
竞争排位赛,경쟁 랭킹전,트랙/모드명
道具赛,아이템전,트랙/모드명
竞速赛,스피드전,트랙/모드명
组队道具赛,팀 아이템전,트랙/모드명
组队竞速赛,팀 스피드전,트랙/모드명
个人道具赛,개인 아이템전,트랙/모드명
个人竞速赛,개인 스피드전,트랙/모드명
无限加速,무한 부스터,트랙/모드명
快速开始,빠른 시작,트랙/모드명
创建房间,방 만들기,트랙/모드명
